STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR; REL_FEUCHTE; eor                                                                                                          
    13667;  2018062217;   2;0;   18.0;   41;eor                                                                                                                                                         
    13667;  2018062218;   2;0;   17.2;   46;eor                                                                                                                                                         
    13667;  2018062219;   2;0;   17.2;   45;eor                                                                                                                                                         
    13667;  2018062220;   2;0;   16.4;   49;eor                                                                                                                                                         
    13667;  2018062221;   2;0;   15.0;   55;eor                                                                                                                                                         
    13667;  2018062222;   2;0;   14.1;   59;eor                                                                                                                                                         
    13667;  2018062223;   2;0;   13.3;   62;eor                                                                                                                                                         
    13667;  2018062300;   2;0;   12.4;   65;eor                                                                                                                                                         
    13667;  2018062301;   2;0;   12.0;   66;eor                                                                                                                                                         
    13667;  2018062302;   2;0;   11.3;   68;eor                                                                                                                                                         
    13667;  2018062303;   2;0;   10.9;   73;eor                                                                                                                                                         
    13667;  2018062304;   2;0;   10.4;   72;eor                                                                                                                                                         
    13667;  2018062305;   2;0;   10.7;   71;eor                                                                                                                                                         
    13667;  2018062306;   2;0;   11.2;   73;eor                                                                                                                                                         
    13667;  2018062307;   2;0;   13.9;   62;eor                                                                                                                                                         
    13667;  2018062308;   2;0;   17.4;   54;eor                                                                                                                                                         
    13667;  2018062309;   2;0;   18.7;   49;eor                                                                                                                                                         
    13667;  2018062310;   2;0;   20.2;   44;eor                                                                                                                                                         
    13667;  2018062311;   2;0;   21.5;   42;eor                                                                                                                                                         
    13667;  2018062312;   2;0;   21.5;   40;eor                                                                                                                                                         
    13667;  2018062313;   2;0;   21.9;   38;eor                                                                                                                                                         
    13667;  2018062314;   2;0;   22.1;   39;eor                                                                                                                                                         
    13667;  2018062315;   2;0;   22.2;   38;eor                                                                                                                                                         
    13667;  2018062316;   2;0;   22.0;   37;eor                                                                                                                                                         
    13667;  2018062317;   2;0;   20.9;   39;eor                                                                                                                                                         
    13667;  2018062318;   2;0;   20.7;   42;eor                                                                                                                                                         
    13667;  2018062319;   2;0;   19.2;   46;eor                                                                                                                                                         
    13667;  2018062320;   2;0;   18.1;   51;eor                                                                                                                                                         
    13667;  2018062321;   2;0;   17.2;   54;eor                                                                                                                                                         
    13667;  2018062322;   2;0;   15.8;   61;eor                                                                                                                                                         
