Tag;Stunde;SUM_GS200;AVG_TA200
25.12.2018;05:00;,00;-1,18
25.12.2018;06:00;,00;-1,46
25.12.2018;07:00;,00;-1,89
25.12.2018;08:00;,00;-2,24
25.12.2018;09:00;34,17;-2,41
25.12.2018;10:00;75,33;-2,17
25.12.2018;11:00;89,03;-1,47
25.12.2018;12:00;83,48;-1,12
25.12.2018;13:00;94,87;-,70
25.12.2018;14:00;80,85;-,32
25.12.2018;15:00;33,73;-,33
25.12.2018;16:00;,00;-,43
25.12.2018;17:00;,00;-,52
25.12.2018;18:00;,00;-,59
25.12.2018;19:00;,00;-,66
25.12.2018;20:00;,00;-,60
25.12.2018;21:00;,00;-,92
25.12.2018;22:00;,00;-1,14
25.12.2018;23:00;,00;-1,12
26.12.2018;00:00;,00;-1,38
26.12.2018;01:00;,00;-1,61
26.12.2018;02:00;,00;-1,68
26.12.2018;03:00;,00;-1,81
26.12.2018;04:00;,00;-1,86
26.12.2018;05:00;,00;-2,11
26.12.2018;06:00;,00;-2,22
26.12.2018;07:00;,00;-2,73
26.12.2018;08:00;,00;-3,04
26.12.2018;09:00;42,58;-3,00
26.12.2018;10:00;89,68;-2,32
26.12.2018;11:00;115,22;-2,00
26.12.2018;12:00;113,38;-1,94
26.12.2018;13:00;104,97;-1,76
26.12.2018;14:00;82,07;-1,63
26.12.2018;15:00;42,47;-1,69
26.12.2018;16:00;,00;-1,67
26.12.2018;17:00;,00;-1,62
26.12.2018;18:00;,00;-1,66
26.12.2018;19:00;,00;-1,75
26.12.2018;20:00;,00;-1,76
26.12.2018;21:00;,00;-2,07
26.12.2018;22:00;,00;-2,40
26.12.2018;23:00;,00;-2,71
27.12.2018;00:00;,00;-2,86
27.12.2018;01:00;,00;-2,80
27.12.2018;02:00;,00;-2,94
27.12.2018;03:00;,00;-2,96
27.12.2018;04:00;,00;-3,02
27.12.2018;05:00;,00;-3,12
27.12.2018;06:00;,00;-3,35
27.12.2018;07:00;,00;-3,21
27.12.2018;08:00;,00;-3,23
27.12.2018;09:00;47,25;-3,34
27.12.2018;10:00;66,12;-2,93
27.12.2018;11:00;156,13;-2,35
27.12.2018;12:00;289,83;-1,01
27.12.2018;13:00;219,40;-,58
27.12.2018;14:00;175,03;-,65
27.12.2018;15:00;95,93;-,11
27.12.2018;16:00;17,93;,08
27.12.2018;17:00;,00;-,34
27.12.2018;18:00;,00;-,64
27.12.2018;19:00;,00;-,85
27.12.2018;20:00;,00;-,70
27.12.2018;21:00;,00;-,74
27.12.2018;22:00;,00;-1,05
27.12.2018;23:00;,00;-,98
28.12.2018;00:00;,00;-,72
28.12.2018;01:00;,00;-,43
28.12.2018;02:00;,00;-,19
28.12.2018;03:00;,00;-,31
28.12.2018;04:00;,00;-,12
28.12.2018;05:00;,00;-,32
28.12.2018;06:00;,00;-,72
28.12.2018;07:00;,00;-,66
28.12.2018;08:00;,00;-,51
28.12.2018;09:00;26,67;-,41
28.12.2018;10:00;195,73;,46
28.12.2018;11:00;115,60;,80
28.12.2018;12:00;71,25;,89
28.12.2018;13:00;47,70;,75
28.12.2018;14:00;61,15;1,13
28.12.2018;15:00;35,47;1,51
28.12.2018;16:00;,00;1,41
28.12.2018;17:00;,00;1,18
28.12.2018;18:00;,00;,98
28.12.2018;19:00;,00;,78
28.12.2018;20:00;,00;,91
28.12.2018;21:00;,00;,85
28.12.2018;22:00;,00;,63
28.12.2018;23:00;,00;,57
29.12.2018;00:00;,00;,70
29.12.2018;01:00;,00;,68
29.12.2018;02:00;,00;,78
29.12.2018;03:00;,00;,78
29.12.2018;04:00;,00;,65
29.12.2018;05:00;,00;,52
29.12.2018;06:00;,00;,61
29.12.2018;07:00;,00;,49
29.12.2018;08:00;,00;,50
29.12.2018;09:00;13,02;,60
29.12.2018;10:00;26,73;,75
29.12.2018;11:00;56,17;,92
29.12.2018;12:00;101,07;1,18
29.12.2018;13:00;93,50;1,43
29.12.2018;14:00;49,18;1,32
29.12.2018;15:00;34,92;1,28
29.12.2018;16:00;,00;1,06
29.12.2018;17:00;,00;,91
29.12.2018;18:00;,00;,53
29.12.2018;19:00;,00;,89
29.12.2018;20:00;,00;,56
29.12.2018;21:00;,00;,59
29.12.2018;22:00;,00;,86
29.12.2018;23:00;,00;1,15
30.12.2018;00:00;,00;1,29
30.12.2018;01:00;,00;1,47
